epoch,train_loss,val_loss
1,0.6364898219673801,0.5906970147918762
2,0.5966598824736271,0.5832645150553399
3,0.591092386701241,0.582220970199634
4,0.5869098347752622,0.5804331283338404
5,0.5849791500741386,0.5803377172327204
6,0.5827837463697277,0.5792116624543129
7,0.5813514855230518,0.5801941544640664
8,0.5815129685913113,0.5799995766775743
9,0.5813500978865189,0.5793745704370153
10,0.5800877017722988,0.5786446522728224
11,0.5799933181635878,0.5780955569021548
12,0.5791655802405,0.5768041224043071
13,0.5798169160007686,0.5795332312403508
14,0.5797341887203186,0.5787543845050406
15,0.5784901439102984,0.5790540120929107
16,0.5785671745905929,0.5772689718258367
17,0.5779883009153727,0.5786494491905865
18,0.5782167024783256,0.5784993757003642
19,0.5774690778108004,0.5779997131610701
20,0.5776307965849322,0.5774506624611859
21,0.577322266371748,0.5775363339062581
22,0.5777024937425534,0.5758988964029933
23,0.5771570012099855,0.578250309228446
24,0.5767647330515683,0.5771460578696908
25,0.5768907596418117,0.5774375289171156
26,0.5767490984828949,0.5781047010124069
27,0.5759326226784149,0.5783559622477727
28,0.5763935576670247,0.578388457897257
29,0.5759721518961858,0.5774290392085814
30,0.576078795950888,0.5786751126683755
31,0.5767739862949766,0.5777685805247491
32,0.5755016021827344,0.5781674160814808
33,0.575732625274309,0.5780732967075055
34,0.576198597591198,0.5778936666428389
35,0.5754598140488381,0.577079716447714
36,0.5752416430280133,0.577021904132423
37,0.574964983604385,0.5812515992943283
