epoch,train_loss,val_loss
1,0.6326436680707342,0.5928838610468694
2,0.594753435687335,0.5851399650007227
3,0.5895895189573153,0.5838672335022469
4,0.5855933821245345,0.58131480909323
5,0.5832791375032497,0.5772243562359906
6,0.5817223401006306,0.5774271854883426
7,0.5799619187045336,0.5789125466094159
8,0.5799958241146512,0.5786473942849386
9,0.5796613287789047,0.5802585211207909
10,0.579156474370593,0.5784012850107589
11,0.5787372016982565,0.5804904622558928
12,0.5788892647486825,0.5771525667194521
13,0.5783382506339476,0.5798629822128432
14,0.5772501913959525,0.5812521558749689
15,0.5776697349275687,0.5806725930139236
16,0.577133260799704,0.5794501050917704
17,0.576994352570898,0.5798955514897373
18,0.5771962249762792,0.5803500579470628
19,0.5761473032511034,0.5785439962065224
20,0.5761521960891409,0.5784841009671157
21,0.5762650423607403,0.5799974988050818
22,0.5757544769031336,0.5782688595470136
23,0.5759552981980108,0.5793805562678584
24,0.5761876718822286,0.5799904418902735
25,0.5751283821363501,0.5807881846150078
26,0.5754038680573064,0.5805526827484921
27,0.5749753150346603,0.5817851012194197
