epoch,train_loss,val_loss
1,0.6444979126946024,0.5671465816050688
2,0.5994193057645544,0.561824091189945
3,0.5895594617181728,0.558006771796279
4,0.5874245502991153,0.556030558309505
5,0.5852341730122476,0.5556767729058351
6,0.5846492093373924,0.5541524406582337
7,0.5836042697483743,0.5518754081000602
8,0.5824837625063247,0.5484869488094557
9,0.5825484263100265,0.5476892143771459
10,0.5816903128205889,0.552553120827292
11,0.5803235673524353,0.5499519377649715
12,0.5807698311285326,0.5480116757458136
13,0.5805394470435867,0.548800056640194
14,0.5792016553630279,0.5472188299785912
15,0.5790622660091945,0.5471764328667758
16,0.5794058044507853,0.5484860613902452
17,0.5785964252318728,0.5507548942927202
18,0.5786480064921259,0.5461284165871779
19,0.5779380136878121,0.5427692600586378
20,0.5783153656141514,0.5505113972382002
21,0.5781791383762582,0.5493182203560825
22,0.5776138807424807,0.5477055838952934
23,0.577287610654521,0.5471382769731564
24,0.5776704993078418,0.5473979773273914
25,0.5774734257409209,0.5493452200806842
26,0.5769131663092655,0.55073274823436
27,0.5764871465509323,0.546361263656246
28,0.57681500590118,0.5491773894600912
29,0.576694027037068,0.5456227767784144
30,0.5764978640215445,0.5496058160605991
31,0.5760829453450781,0.5538153756616576
32,0.5760032510114257,0.5471161359321292
33,0.575993712769923,0.5464796676638646
34,0.5757702393885553,0.5521477107697221
