epoch,train_loss,val_loss
1,0.8435443175250481,0.8103484184702657
2,0.8074369060707808,0.8017618779725185
3,0.8014700293701413,0.7973973472091744
4,0.7997450619784127,0.7917340222857392
5,0.7964362475530722,0.7902503921654243
6,0.7947815414575783,0.7881905088825821
7,0.7938375018236901,0.7868677577817319
8,0.7935332356972278,0.7878768579450202
9,0.7918524807822807,0.7858643069465849
10,0.7907790770153393,0.7863054487859055
11,0.7913255973545797,0.7846719322074863
12,0.7903108708629951,0.7850969421237569
13,0.7904953677749854,0.7843588597506899
14,0.7890715349535451,0.7841029950202494
15,0.7884286709100441,0.7838814203903499
16,0.7887340742250484,0.7838579820041118
17,0.7882901510794843,0.783837064383865
18,0.7875014799281435,0.7835245137972368
19,0.7878235432760335,0.7841205474353595
20,0.7869788050273326,0.7841196416069177
21,0.7877518713468543,0.7818893427381002
22,0.7877576549962534,0.7827913379703614
23,0.7867688435417518,0.782628178687088
24,0.7866063333282034,0.7817791597949525
25,0.7862360509241239,0.7831830632787171
26,0.7854539882276004,0.7823711682782817
27,0.785502692386859,0.7818312453040508
28,0.7855213102429272,0.7823791850237365
29,0.7846570181154354,0.783625574081681
30,0.7851804619557055,0.7817750464040862
31,0.7860955769574913,0.7816118800637388
32,0.7845486563314051,0.7819974192397846
33,0.7841853568799426,0.7809377812815614
34,0.7847183537029346,0.7824075067511662
35,0.7841962414559877,0.7814001223038862
36,0.7850547646561582,0.7805668104020139
37,0.7841996362617114,0.783384801963876
38,0.7834052170552768,0.7808835565459539
39,0.783493739561947,0.7809593367652696
40,0.7828966057159593,0.7818120171464099
41,0.7824164586483934,0.781015465320973
42,0.782993175865148,0.780923647973501
43,0.7837463494275995,0.7802363443323903
44,0.7822419686817617,0.7799084467206269
45,0.7827621406929365,0.7807787179593593
46,0.7824646309068278,0.7816508798190133
47,0.7824155420251173,0.7793813450411284
48,0.7823500768162519,0.7808558946232347
49,0.78107269037665,0.7805457548472247
50,0.7825163497040907,0.780716049312431
51,0.7830168023199752,0.7792160546755172
52,0.7818262350695624,0.783425554962667
53,0.7821369409125627,0.7802520337977374
54,0.7819302934899306,0.7804479086387301
55,0.7815357342338048,0.7809799539797374
56,0.7811798646546089,0.7793246816425612
57,0.7812630050744636,0.7813070805993737
58,0.782266694485551,0.7812187011702661
59,0.7819350973939267,0.7808895451164289
60,0.7808041161246603,0.7806354426614727
61,0.7800807437189794,0.7807971787892972
62,0.7808433890491709,0.7813822668784929
63,0.7815289490315309,0.7804128238699866
64,0.7804599537481288,0.7799159229476633
65,0.780986746583188,0.779585500434409
66,0.7812911488450315,0.7793854258734274
