real_case_id,num_samples,total_rows,total_positive,total_negative,mean_positive_rate,min_positive_rate,max_positive_rate,total_label_mismatch_count,total_candidate_above_max_corr_count,mean_label_distance,median_label_distance,mean_distance_T0,mean_normal_dot_abs,mean_fpfh_distance,mean_log_normalized_density_ratio,global_positive_rate
20260626_143302_palletizer_005_part_2_refined_from_voxel005,1,2000,242,1758,0.121,0.121,0.121,0,0,0.181284169970247,0.1859574922245657,0.10210538422785352,0.5593008737303485,85.00814500318866,0.48630147797998496,0.121
20260626_144015_pallet_rack_05_part1_refined_from_voxel005,1,1353,258,1095,0.19068736141906872,0.19068736141906872,0.19068736141906872,0,0,0.13450693059556346,0.1337463353052382,0.0691394468555003,0.6844341635683994,101.69416676328376,0.20239403731407407,0.19068736141906872
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,2706,938,1768,0.3466371027346637,0.20694752402069475,0.48632668144863267,0,0,0.11942113265485661,0.11925147103867295,0.0887618894450021,0.6936525469817142,107.24792220359747,0.2803022941065937,0.3466371027346637
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,2706,807,1899,0.2982261640798226,0.2682926829268293,0.328159645232816,0,0,0.12587468303498478,0.12247268479998405,0.10605987900639378,0.643909472267586,124.70382010670339,0.3063969790431874,0.2982261640798226
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,2700,578,2122,0.2140270035813463,0.15048183839881393,0.27757216876387864,0,0,0.19137063334252802,0.19406361266374156,0.2021330301940061,0.5824214496693908,125.81850823156151,0.5312407236124171,0.21407407407407408
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,3,3998,723,3275,0.1792160829010485,0.07275541795665634,0.37472283813747226,0,0,0.20613051425073015,0.21320538430353256,0.1628137995090164,0.5730957000168522,110.30047377054443,0.5430325664710706,0.18084042021010505
20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,3,3205,593,2612,0.1774839988042343,0.07075471698113207,0.27582938388625594,0,0,0.2530929805081091,0.23395012448504818,0.2772746171046035,0.4253086279184983,135.55647625336218,0.5297596433191437,0.18502340093603745
20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,3,2570,548,2022,0.21267043729493026,0.0882016036655212,0.3439273552780931,0,0,0.16631167473236555,0.15571460177134958,0.1751571150725234,0.6643120041431604,116.41991838208183,0.35629573935834585,0.2132295719844358
20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005,3,2646,1066,1580,0.40287226001511717,0.1836734693877551,0.7312925170068028,0,0,0.120039229695535,0.11621954316988596,0.11129515765075054,0.6482464214601791,119.83680144460465,0.4378830152714674,0.40287226001511717
20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005,2,1764,883,881,0.5005668934240364,0.3231292517006803,0.6780045351473923,0,0,0.10862940248500787,0.10136319222631412,0.08868775074204117,0.6740949400761127,116.84015348036102,0.3856136197211061,0.5005668934240363
20260706_122711_metal_tab2_cluster009_part1_refined_from_identity,3,5335,1625,3710,0.30283752752055476,0.05647461494580719,0.6672250139586823,0,0,0.2232859878960239,0.2368129904966018,0.12708595012176055,0.5566928131543212,151.31227247526306,0.4491736366804611,0.3045923149015933
20260706_130424_table_cluster004_table1_refined_from_identity_scale1,2,1394,285,1109,0.20444763271162122,0.07890961262553801,0.3299856527977044,0,0,0.16962085793335596,0.1681359050861832,0.15795360308809192,0.7829650780382693,217.38464470806906,0.4645589983464038,0.20444763271162122
20260706_145031_table2_cluster004_table2_refined_from_identity,3,3150,890,2260,0.28253968253968254,0.16380952380952382,0.4219047619047619,0,0,0.13126223357091443,0.12777782706322724,0.13003915753610246,0.8449327645321879,135.03621252428988,-0.017999972848500606,0.28253968253968254
20260706_150131_table3_cluster004_table3_refined_from_identity,2,1999,164,1835,0.08203803803803804,0.07607607607607608,0.088,0,0,0.2404620984092724,0.25220719224209087,0.2145939806215067,0.8719544617370751,169.06929103999553,0.03427815202067788,0.08204102051025512
20260706_153654_table_fanuc_cluster000_table1_refined_from_identity,3,5599,763,4836,0.1357976381640048,0.085199344620426,0.16321105794790006,0,0,0.19711997376844628,0.18570984056900808,0.14523755762493695,0.6200116262173753,147.26342806985744,0.6623252154040601,0.13627433470262548
20260706_163516_mir_charger_cluster025_ransac_icp_voxel005,2,638,175,463,0.274294670846395,0.12539184952978055,0.4231974921630094,0,0,0.12934609331426378,0.13221217480707675,0.07217008599549349,0.4963342327605378,83.4825770011638,0.3403584695316369,0.274294670846395
20260706_163705_mir_charger_cluster025_refined_from_identity,1,319,33,286,0.10344827586206896,0.10344827586206896,0.10344827586206896,0,0,0.14877900345037667,0.1504477364044584,0.06116796602064827,0.598488591068468,84.43588827082108,0.3770960745633451,0.10344827586206896
20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2,1,887,91,796,0.10259301014656144,0.10259301014656144,0.10259301014656144,0,0,0.14682754894518957,0.1508006620961868,0.052710060600975224,0.5953059142082368,74.41917501475106,0.10823158717349567,0.10259301014656144
