epoch,train_loss,val_loss
1,0.6375637439991491,0.5648373214383223
2,0.5930278523431681,0.5587419936968879
3,0.5871327050180979,0.5572197254920389
4,0.5862846306903753,0.5591888504128486
5,0.5842541209544819,0.5582796354681782
6,0.5833860536355464,0.5526078028968865
7,0.5830519314853053,0.5601522195683067
8,0.5819980474719966,0.5481252600970864
9,0.5820496235063367,0.5540345552913202
10,0.5814101418273571,0.5492412727126267
11,0.5813757198709129,0.5530058964582255
12,0.5804292683876197,0.5486759728665529
13,0.5800534519660991,0.550415462094887
14,0.5806185113075392,0.5515168849232807
15,0.5806190431812364,0.5524166143732588
16,0.5794094966862701,0.5507362914444677
17,0.5786509582559292,0.5500792211861686
18,0.5793133812181647,0.5567414558081696
19,0.57879174172257,0.5518821681305212
20,0.5785571018440602,0.5487074240383215
21,0.5780247036187215,0.5485218830377746
22,0.5786933263045451,0.5482405382586684
23,0.5783717920267092,0.5486068753099612
