epoch,train_loss,val_loss
1,0.8163877411065659,0.7836827576588917
2,0.7759728902978222,0.7706920519318943
3,0.7662953730504555,0.7638011622239458
4,0.7629576390870371,0.7608727851240553
5,0.7601373349137138,0.7593950390229386
6,0.7604661106715184,0.7584599070281997
7,0.7573608573765755,0.7593548431253957
8,0.7570451131966665,0.7564033612670927
9,0.7553886392907488,0.7561176429631987
10,0.7552730175659712,0.7551502955622895
11,0.7537258364781789,0.7557802182952428
12,0.7531900737275171,0.7533731683789895
13,0.7529804094724685,0.7545111122701459
14,0.7523725214785382,0.7549421652401662
15,0.7512742236942513,0.7553909421598555
16,0.7514801777949077,0.7529592581423132
17,0.7509111506735748,0.7534176971034664
18,0.7501294293997611,0.7554293542570387
19,0.750302642980051,0.7523880216284228
20,0.7486837793164219,0.7519591568637607
21,0.748664256997454,0.7535913597080593
22,0.7493305365146833,0.7518031796270638
23,0.7489288912273466,0.7530241643845742
24,0.7490460584360257,0.7536908166272326
25,0.7490968846582226,0.7535934077353807
26,0.7488967696828717,0.754660241075235
27,0.7483180009007848,0.7519539402914102
28,0.7479008067298208,0.7526336087586977
29,0.7478663517136582,0.7522775486207487
30,0.7484534400637856,0.7535393194046338
31,0.7476434682999091,0.7535929878462547
32,0.7474157919316126,0.754387140120695
33,0.7481388266544801,0.7545835586691101
34,0.7477077503679974,0.7540359345747132
35,0.7481052051460423,0.7535495592164939
36,0.7470441467709044,0.7543106950281065
37,0.7479759393120896,0.7540882727164371
