heldout_real_case,repeat_idx,feature,gini_importance
20260626_144015_pallet_rack_05_part1_refined_from_voxel005,4,log_normalized_density_ratio,0.20492287716261212
20260626_144015_pallet_rack_05_part1_refined_from_voxel005,4,is_mutual_nn,0.0
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,distance_T0,0.20288438002326503
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,point_to_plane_residual,0.16707384734883
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,normal_dot_abs,0.2777293916415622
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,fpfh_distance,0.17393769978125692
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,log_normalized_density_ratio,0.17837468120508584
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,0,is_mutual_nn,0.0
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,distance_T0,0.24002102409369133
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,point_to_plane_residual,0.16682308656929323
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,normal_dot_abs,0.2565520663704249
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,fpfh_distance,0.21495352171721632
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,log_normalized_density_ratio,0.12165030124937415
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,1,is_mutual_nn,0.0
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,distance_T0,0.22863660378820796
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,point_to_plane_residual,0.10481635717179841
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,normal_dot_abs,0.26779303918975345
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,fpfh_distance,0.2832426911448627
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,log_normalized_density_ratio,0.11551130870537737
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,2,is_mutual_nn,0.0
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,distance_T0,0.16338195800601155
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,point_to_plane_residual,0.08267593105435077
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,normal_dot_abs,0.2970510579898274
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,fpfh_distance,0.31270491184949495
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,log_normalized_density_ratio,0.1441861411003153
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,3,is_mutual_nn,0.0
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,distance_T0,0.2920461017635599
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,point_to_plane_residual,0.04101839081954115
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,normal_dot_abs,0.239800272279295
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,fpfh_distance,0.28218236879165165
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,log_normalized_density_ratio,0.14495286634595217
20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005,4,is_mutual_nn,0.0
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,distance_T0,0.2670158316685803
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,point_to_plane_residual,0.0
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,normal_dot_abs,0.27310613213214896
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,fpfh_distance,0.24735994365125974
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,log_normalized_density_ratio,0.21251809254801096
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,0,is_mutual_nn,0.0
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,distance_T0,0.19652641372467847
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,point_to_plane_residual,0.12044055998995683
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,normal_dot_abs,0.26983273682165837
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,fpfh_distance,0.25833582746201006
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,log_normalized_density_ratio,0.15486446200169615
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,1,is_mutual_nn,0.0
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,distance_T0,0.2247891227235932
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,point_to_plane_residual,0.012308178341487324
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,normal_dot_abs,0.28445235377489586
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,fpfh_distance,0.26361356129953145
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,log_normalized_density_ratio,0.200856066360354
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,2,is_mutual_nn,0.013980717500138228
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,distance_T0,0.2144493068112325
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,point_to_plane_residual,0.10267379808097114
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,normal_dot_abs,0.27584158747307364
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,fpfh_distance,0.22379138706488344
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,log_normalized_density_ratio,0.18324392056983937
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,3,is_mutual_nn,0.0
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,distance_T0,0.19122372442092894
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,point_to_plane_residual,0.09529752194729439
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,normal_dot_abs,0.2657777235172468
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,fpfh_distance,0.2839522985274188
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,log_normalized_density_ratio,0.1637487315871111
20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,4,is_mutual_nn,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,distance_T0,0.4681375587362512
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,point_to_plane_residual,0.00971586055377341
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,normal_dot_abs,0.16280792672419853
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,fpfh_distance,0.20329245831668832
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,log_normalized_density_ratio,0.15604619566908864
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,0,is_mutual_nn,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,distance_T0,0.42570392944409785
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,point_to_plane_residual,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,normal_dot_abs,0.17497049741837895
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,fpfh_distance,0.2737435047884371
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,log_normalized_density_ratio,0.12558206834908608
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,1,is_mutual_nn,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,distance_T0,0.39732723187807395
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,point_to_plane_residual,0.06092769799353996
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,normal_dot_abs,0.169602352653217
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,fpfh_distance,0.22936168606388402
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,log_normalized_density_ratio,0.1427810314112851
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,2,is_mutual_nn,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,distance_T0,0.36293828398157596
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,point_to_plane_residual,0.045446727152242496
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,normal_dot_abs,0.2021831825476842
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,fpfh_distance,0.26405494663171497
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,log_normalized_density_ratio,0.12537685968678242
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,3,is_mutual_nn,0.0
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,distance_T0,0.4420600813506728
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,point_to_plane_residual,0.007846498449584172
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,normal_dot_abs,0.18975944029422276
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,fpfh_distance,0.23325399659049265
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,log_normalized_density_ratio,0.12707998331502773
20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,4,is_mutual_nn,0.0
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,distance_T0,0.2183149222080742
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,point_to_plane_residual,0.0766820070412614
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,normal_dot_abs,0.25467479645336116
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,fpfh_distance,0.2610789100345008
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,log_normalized_density_ratio,0.18924936426280248
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,0,is_mutual_nn,0.0
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,distance_T0,0.2662155078669697
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,point_to_plane_residual,0.09629409324814957
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,normal_dot_abs,0.25167530748850814
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,fpfh_distance,0.2733831185516527
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,log_normalized_density_ratio,0.11243197284471979
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,1,is_mutual_nn,0.0
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,distance_T0,0.25992605597675017
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,point_to_plane_residual,0.08153405177652981
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,normal_dot_abs,0.23546158352648952
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,fpfh_distance,0.27635174654328776
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,log_normalized_density_ratio,0.1467265621769428
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,2,is_mutual_nn,0.0
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,3,distance_T0,0.22979929330880672
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,3,point_to_plane_residual,0.05546720898919512
20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,3,normal_dot_abs,0.27082000240761495
