model,feature_set,test_shape,best_epoch,best_val_loss,test_rows,test_positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,num_predicted_reliable,acceptance_rate
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.3,0.5282305800928877,0.45607537715810686,0.9572473708276178,0.6178022059094765,0.7065490945055641,3227,9987,374,8374,18361,0.8360349694927602
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.4,0.5871049995446681,0.4897658948445695,0.8752857796067672,0.6280862931670905,0.7065490945055641,5237,7977,1091,7657,15634,0.7118659502777525
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.5,0.6340497222475184,0.530596436870643,0.7047325102880658,0.6053910737958462,0.7065490945055641,7760,5454,2583,6165,11619,0.5290501775794554
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.6,0.6565886531281304,0.6260978670012547,0.34224965706447186,0.4425720620842572,0.7065490945055641,11426,1788,5754,2994,4782,0.21773973226482105
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.7,0.6350059193151808,0.7178571428571429,0.13786008230452676,0.23130034522439585,0.7065490945055641,12740,474,7542,1206,1680,0.07649576541298607
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.8,0.608551133776523,0.7870722433460076,0.023662551440329218,0.0459438464099434,0.7065490945055641,13158,56,8541,207,263,0.011975229942628176
MLP_weighted_reduced,reduced,box_sphere,8,0.7743150682959916,21962,0.398324378471906,0.9,0.6017211547217922,1.0,0.00011431184270690443,0.00022859755400617213,0.7065490945055641,13214,0,8747,1,1,4.553319369820599e-05
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.3,0.548675009201325,0.46269078575466366,0.964075382803298,0.6252864782276547,0.7351108639681789,3741,9505,305,8185,17690,0.8138571954361428
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.4,0.5930714022819286,0.4888512028138936,0.9167255594817433,0.6376633484904346,0.7351108639681789,5108,8138,707,7783,15921,0.7324714758925285
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.5,0.6364096429885904,0.5227184766622803,0.7954063604240282,0.6308561819795413,0.7351108639681789,7080,6166,1737,6753,12919,0.5943595877806405
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.6,0.6694423997055576,0.5793699063374286,0.5610129564193168,0.570043683801089,0.7351108639681789,9788,3458,3727,4763,8221,0.37822046374677953
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.7,0.6621273463378726,0.7119082840236687,0.22673733804475854,0.34393425049133464,0.7351108639681789,12467,779,6565,1925,2704,0.12440191387559808
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.8,0.6302447552447552,0.8098495212038304,0.06972909305064783,0.1284025593753389,0.7351108639681789,13107,139,7898,592,731,0.033630842841369156
MLP_weighted_reduced,reduced,l_shape,66,0.7788218815680541,21736,0.3905962458594038,0.9,0.6095417740154582,1.0,0.00035335689045936394,0.0007064641469445425,0.7351108639681789,13246,0,8487,3,3,0.00013801987486198014
