epoch,train_loss,val_loss
1,0.8030975619976247,0.7493084705858545
2,0.7481912556124347,0.7252275512201962
3,0.7421328987101702,0.7153174287289896
4,0.7382019613872344,0.7191704403810627
5,0.7386211292426473,0.7135094249209492
6,0.7361347063562754,0.7095905563196042
7,0.7350402112974849,0.7157798778186043
8,0.7337357223143539,0.7085354118298537
9,0.7337284963383841,0.7040054503165112
10,0.7325173235977449,0.71043668941726
11,0.7313601013197627,0.7118019988088813
12,0.7310759597289497,0.711848252303561
13,0.7316301226031188,0.7164247163228135
14,0.731099801550315,0.7126293659427956
15,0.7303330325627166,0.70454304692716
16,0.729585857167703,0.7110085361388023
17,0.7296669187902454,0.7055842935952779
18,0.7293545964449772,0.7098836116626007
19,0.7291732835740418,0.710782483361865
20,0.729290068076477,0.7135235759409716
21,0.7287656375413143,0.7067322874824082
22,0.7280631688092838,0.7135045510628913
23,0.7278000592162169,0.7095614539877412
24,0.7276729400869822,0.7051356581395343
